,topics,links,voices,replies,comments
39,How has your life changed since the diagnosis?,https://parkinsonsnewstoday.com/forums/forums/topic/how-has-your-life-changed-since-the-diagnosis/,['6'],['13'],"[['Posts'], ['\n\nA Parkinson’s diagnose is scary for everyone who is involved. It brings alot of changes into our lives (and sometimes very quickly). But we don’t always think about the changes that happen for caregivers.\nAs a caregiver, how has your life changed since the diagnosis? Have you adjusted your work schedule? What other habits or routines have shifted in your life?\n'], ['\nIn many ways. I was diagnosed 10 years ago and I’ve watched the progression over those 10 years. It seems like my biggest concern is about my career.As I may have mentioned before, I work as a professor, which allows me to work at home much of the time and to cut back from my long hours that I formerly worked. Due to symptoms,I am anxious about going into class, fearing that my tremor will return and the other symptoms like the “foggy brain” phenomenon.\nI’ve gotten some help with accommodations at work like having a teaching assistant in all my classes to take care of the details which overwhelmed me. But I am intimidated from engaging any major complex projects. So I cut back as best I can. But I enjoy the work that I do and the meaning it gives to me. My brother says that I should retire but that doesn’t feel like an option. Maybe he’s right.\nI also am hesitant about engaging in events, not being sure how I’ll be, whether it’s going to a concert, the movies, or a party. I fear disappointing friends and then being less involved with me. So I try to keep up via text or phone calls and selective social events.I am generally very outgoing \xa0So that is a change.\nDue to the dopamine deficit, I don’t have the same zest for things that I had. For example, I like to watch sports and I don’t have any excitement about that.\nTo balance what seems like this tale of woe, I should add that I do enjoy things on some level and I try to not think about the apathy. In other words I try mindful awareness of being in the present moment and appreciating that, such as seeing the sunshine outside the window, the taste of coffee and sweets 🙂\nWhat has remained the same are my social skills and my cognitive abilities. One of my strategies is, “you’ve got Parkinson’s. Get over it.“ I don’t mean this is easy or to be glib but it’s a process of accepting it for life instead of regretting or fighting it. I have no choice! Except in how I focus on the present and the gifts in my life. They include the support of people in my life.\nOh and I see a counselor for Acceptance and Commitment Therapy. She is part of the neurology office that I go to.It helps remind me how to stay engaged and be in the present.\n'], ['\nGarrett,\nIt sounds like you’re managing PD in the best ways that you know how. I don’t think anyone can ask for more than that. I’ve often felt that hanging on to the things that give us meaning can give me strength to get through the hard parts. But it seems like you’re finding meaning in a lot of things. Have you found that counseling has helped?\n'], ['\nYes. Acceptance and Commitment Therapy (ACT) is a mindfulness based approach. It emphasizes being present in the moment and being with it rather than fretting or being in the future or past. It is so easy to slip into, “how are used to be when I was without Parkinson “or “why me?”. With ACT One dozen try to dispute those thoughts but rather moves into a present tense mindful breathing focus. Kind of like intentional forgetting of what your mine was doing. It is considered a third wave of behavioral counseling.\n'], ['\nMy neuro told me to make a conscious effort to try to focus on a thought instead of trying to get everything done on my list. I was always proud of how I got everything done. Now at the end of the day I still look at what I accomplished, but I know if it’s more than three things I was too hard on myself and I’ll have a hard time sleeping. So I’m learning how to scale back as I don’t want to become anxious\n'], ['\nMy hubby was diagnosed with PD in 2017. He was already retired, but I was still working as a teacher. My days would start at 6:50 and I did not return home until 4 or 5 o’clock, with paperwork to do in the evenings. In addition, I was caring for my elderly parents who were living in an Assisted Living facility. By January of 2019, both parents had passed and my husband had too many days where he wasn’t safe at home alone. So, I decided to retire a bit earlier than I had expected. Due to RLS, there are a few days per month that we sleep only a few hours a night. Retiring has allowed me to rest up after nights like this rather than running myself ragged. I have become the sole driver, as it isn’t safe for him to be behind the wheel anymore. I must be with him in a doctor’s office, as he is easily confused with directions or instructions. His anxiety can keep us from going certain places. I try to encourage him with reassurances that if he becomes uncomfortable, we will leave. The biggest problem with that relates to his struggles with constipation. It can take him an entire day with multiple trips to the bathroom before he can find relief. For all of these symptoms, he takes medicines, supplements, teas, lots of fiber and exercise. My new full time job is making sure I am there to support his physical, mental, and emotional health. I feel okay with this new normal because I am so lucky to have had him on my life. It is my time to give to him.\n'], ['\nRoy,\nDo you still manage to find ways to take care of yourself as your relationship changes?\n'], ['\nI am hearing wonderful dedication as well as a reminder to do self-care. Today I have a list of about seven things I wish to accomplish but I went into an off mode good morning and couldn’t type for my work not really drive and jump around doing errands. I decided to just be slow as what it was. And wait for the meds to kick in. There’s a really good blog called perky Parkie In which she reminded us to get half the things done we once did. That’s very hard for me, as I make a list every day. But breaks in between, especially when you’re off, are really important. I never took breaks until the evening. I also try to contribute to doing things that I can for my spouse, to make it more even. \xa0But we’ve only known each other for five years and I don’t have that record of past contributions in the bank. So I try to push myself – She likes to travel and I find it quite challenging after 10 years from diagnosis. I am sitting here in the middle of the afternoon trying to get my meds to kick in so I can drive around doing a bunch of errors!\n'], ['\nGarrett,\nI try to remind myself that some days are going to be better than others. Which means that its okay to shift my expectations. But it sounds like you’re taking steps to re-adjust and re-orient yourself to suit your needs. And that’s great. Do you feel like you’ve begun to find a balance between pushing yourself and resting?\n'], ['\nI have a specific question or comment that I’d like to hear from others about. Upon awakening, I burst into tremors right away, even if I had taking my sinemet an hour earlier and gone back to sleep. What do people do in the morning on first awakening? One thing is to worry about things as I feel the tremor start, which sometimes do.(“Oh, another day if this.“) What I am trying to do is a twenty-minute meditation in bed when I awaken. I’ve tried series of Parkinson’s affirmations also, lying there for about 30 minutes listening to them.\n'], ['\nGarrett\nFor what it is worth I share the following.\nI see some similarities in our PD.\xa0 I never really had a tremor, just really stiff and slow and unsteady.\xa0 \xa0It took over a year to finally get my “pills” right in regards to the dopamine deficit.\xa0 Part of my medication solution was to make sure I have 24 hour 7 days a week full Sinemet coverage.\xa0 We also added pills to deal with low blood pressure caused by the PD and the high Sinemet dosage.\xa0 My doctor said some of my fuzziness in the afternoons was because of lowered blood pressure – Orthostic Hypotension.\xa0 I never had dizziness or falls from low blood pressure, just a feeling of brain fog and just not feeling right.\xa0 Those low blood pressure pills help.\xa0 But I believe the one last medication that the doctor added really helped me to confidently get back to my normal activities.\xa0 It has brought my former “sharpness” back.\xa0 Two Cymbalta a day.\xa0 (I had never taken such pills before – I am 66 years old). It took about thirty days for them to kick in, but they have helped to restore some of the sharpness that was fading away.\xa0 I still work 10 hour days running a financial firm.\xa0 I clearly need lots more sleep now than I ever took time for before the PD.\xa0 But I am back to my old work schedule now and feeling good about things.\nThanks,\nRobert C\n'], ['\nHi Garrett, have you found the affirmations to be helpful? Where did you find them or did you write them yourself? \n'], ['\nYour hubby is blessed to have such a loving and supportive partner in you, Roy. The strength of your relationship is a beautiful thing. I hope that you both find some relief for the many challenges you’re facing together. What are you doing to take care of yourself? \n'], ['Posts']]"
40,Fall,https://parkinsonsnewstoday.com/forums/forums/topic/fall/,['1'],['1'],"[['Posts'], ['\nHello everyone,\xa0 \xa0I had a fall last Friday and kind o wobbly when I walk. This is something new to me.\xa0 I called my Neurologyst and he thinks is my blood pressure. I never had any problems with my blood pressure.\xa0 Any input will be really appreciated . Thank you\nGod bless!\n'], ['Posts']]"
41,Who do you care for?,https://parkinsonsnewstoday.com/forums/forums/topic/who-do-you-care-for/,['3'],['4'],"[['Posts'], ['\n\nCaregivers often put alot of time and effort into making life more comfortable for someone they love. In my case, it’s my Dad. I want to make life as easy as possible for him. And sometimes that means I take up the responsibility of driving us around and getting him to his appointments on time.\nWho do you care for? Do you have friends or family members around to help? What do you do on a regular basis to show your support for your loved one?\n'], ['\nMy wife.\n'], ['\nMy grandmother\n'], ['\nMy wife cares for me, with loving support from our church.\n'], ['Posts']]"
42,The joys of caregiving,https://parkinsonsnewstoday.com/forums/forums/topic/the-joys-of-caregiving/,['1'],['1'],"[['Posts'], ['\n\nI just scanned the most recent topics under this forum area and a lot of them have to do with managing caregiver stress and fatigue. But what about the upside of caregiving? There has to be one, right?\nWhat are some of the simple joys you have found in caring for someone else? What are some happy or funny moments you have shared with the person you care for recently? What about caregiving makes you feel good? I’d love to hear from you!\n\n\n\t\tThis topic was modified 4 weeks ago by Ally.\n\t\n\n\t\tThis topic was modified 2 weeks, 1 day ago by Marta Ribeiro.\n\t\n\n\t\tThis topic was modified 2 weeks, 1 day ago by Marta Ribeiro.\n\t\n\n'], ['Posts']]"
43,Stress Relief Tips for Caregivers,https://parkinsonsnewstoday.com/forums/forums/topic/stress-relief-tips-for-caregivers/,['0'],['1'],"[['Posts'], ['\n\nHey everyone! Hope you’re all staying safe and healthy.\nToday, I wanted to give a shoutout to all of the caregivers in this community. Especially in a time like this, I want to express my gratitude to everyone who continually gives and sacrifices to care for a loved one with Parkinson’s.\nI recently came across an article on the importance of stress relief for caregivers, and how they can care for themselves from “head-to-toe”. The article shares tips on how to utilize stress relief strategies, particularly in areas of the body where there’s tension. Check out the article HERE.\nDo any of these stress relief techniques benefit you as a caregivers?\xa0Do you have any to add to the list that you find particularly helpful?\n'], ['Posts']]"
44,Would you like to be featured for Parkinson’s Awareness Month?,https://parkinsonsnewstoday.com/forums/forums/topic/would-you-like-to-be-featured-for-parkinsons-awareness-month-2/,['6'],['9'],"[['Posts'], ['\nHi Everyone! The month of April is Parkinson’s Awareness Month. And Parksinon’s News Today is interested in featuring a few people on social media and within our forums. We’re looking for caregivers and patients who would be willing to tell us a little bit about their story. What has your journey been like? And what have some up the highs and lows looked like?\nIf you’re interested in participating, please comment here or reach out to me directly. I’d love to use this as an opportunity to shed some light on Parkinson’s. And I can’t do it without you 🙂\n'], ['\nI would love to share my story. \xa0The short version is as follows; I am a 50 year-old mother of 3 girls (22 yrs, 21 yrs and 18 yrs). \xa0I was diagnosed in 2011 when I was 42 years-old, but had been seeking a diagnosis since fall 2009. \xa0It took almost 2 years of nerve testing, physical therapy and guessing before a doc gave me carbidopa levodopa. \xa0My symptoms improved within the first day. \xa0I then went in for a DAT Scan which confirmed the loss of dopamine in my brain. \xa0Medication dosage has been my biggest battle. \xa0My “On-Time” and “Off-Time” have seesawed throughout the past 9 years. \xa0Physical exercise remains my best medication. \xa0Working out with a trainer for the past 18 months has been in great shape and able to minimize the effects of my Parkinson’s symptoms.\n\xa0\nTahmy\n'], ['\nBeing a caregiver feels like one is “on-call” 24/7.\xa0 It wasn’t like this at first, but after having had Parkinson’s Disease for 20+ years, my husband is totally dependent on others, usually me. Thankfully I have many life-lines: our daughters, our grandchildren, our church, our friends, and my amazing Parkinson’s support group.\nUnless you live with someone with Parkinson’s, you cannot fully understand the many emotions caregivers feel and the various problems we have to solve. We need to hear that our feelings are normal, that someone understands us,\xa0 and that we are not alone. The fellow caregivers in my support group have encouraged me to write a blog that has resonated with many caregivers around the world. It is an honor to be able to encourage and support those who care for someone with Parkinson’s Disease as well as any other chronic or debilitating disease.\nI would be honored to be featured for Parkinson’s Awareness Month as my husband’s caregiver.\nhttp://www.parkinsonscaregivernet.wordpress.com\n\xa0\n'], ['\nOur best friend struggled through being a full-time caregiver for her husband who had Parkinson’s for approx. 15 years.\xa0 Most of those years they did well.\xa0 The last 3 or 4 were far more challenging (also his age was advancing – he was 80 by then – but formerly very young for his age – in looks and actions).\xa0 If I didn’t know otherwise, I would have thought that she wrote your words!\xa0 This is exactly how she describes her journey!\xa0 My husband was just diagnosed about an year ago but he is doing very well and not on any medication at this time.\xa0 We thank you for your openness and sharing your experience.\xa0 Many, on the outside, don’t appreciate or fully understand the role the caregivers have.\xa0 I think this is partially because they don’t under the disease.\xa0 On the outside, it has certain presentations but the unapparent ones are equally as debilitating.\n'], ['\nDear Mary Beth, \nI would like to take a somewhat different tack in my response, but it’s going to take me some time to put it together. It’s likely that I won’t have it ready until next weekend. Is that OK?\nSteve O.\n'], ['\nWhen I saw that Mary Beth was asking readers to provide some input for April’s Parkinson’s Awareness program, I knew that I wanted to take a somewhat different approach. I’ll use my allotted space to make you aware of a fabulous organization – the NeuroChallenge Foundation for Parkinson’s (NCF) https://www.parkinsonsneurochallenge.org/\nNCF is located in Sarasota, Florida, and has been serving the PD community for over ten years. From humble beginnings, NCF has blossomed and\xa0 become the “go to” source of PD-related information, programming and counselling for all of Southwest Florida (and beyond). When a “Sun Coast” resident receives that first PD diagnosis, they are almost always advised to contact NCF for guidance and support along this new, challenging journey.\nThe heart of NCF is the remarkable group of Care Advisors who interact every day with patients and caregivers. These are the folks who are on the front line of the PD battlefield, striving to support the PD community so that no one feels that they are making the journey alone. Led by a brilliant and driven Executive Director and a Board of Directors \xa0who are deeply involved in fulfilling NCF’s mission of improving the quality of life of people with Parkinson’s and their caregivers, NCF accomplishes its goals with a staff of only 7 dedicated people and a large group of volunteers.\nI must mention specifically one outstanding annual event. In 2020, NCF’s annual Expo attracted more than 1,400 attendees eager to hear the latest about PD research, medications and other aspects of PD patient support. Between presentations by distinguished speakers, attendees are free to wander around the corridors, where representatives from drug companies, hospitals, makers of assistive devices, counsellors, etc. are happy to answer questions. I want to note that NCF’s expenses are funded from only two sources – donations and, to a much lesser extent, grants (no government support).\nSo, why am I telling you about NCF, other than to “toot our horn” to a wider audience than usual? Because I believe that the NCF model could be replicated in many locations in the US and internationally. I believe that an organization like NCF can be created wherever there is a critical mass of motivated PD patients and caregivers who are yearning to expand their treatment horizons.\nAdmittedly, NCF has grown because of its rather unique demography.\xa0 Sarasota has a much higher than usual percentage of senior citizens. That means higher than expected counts of PD patients, many of whom live at a distance from family and need support. NCF has been blessed with financial support from very generous “angel investors” as well as receiving thousands of contributions from others whose lives have been impacted by PD.\nSorry, I went way over my allotted space. April is PD Awareness Month, and I feel strongly that my PD “sisters and brothers” should be aware of what can be accomplished.\nBe well.\nSteve Oppen\n\xa0\n\xa0\n\xa0\n\xa0\n\xa0\n\xa0\n\xa0\n\xa0\n\xa0\n\xa0\n\xa0\n'], ['\nHey everyone! Thank you all for your willingness to participate in this project. I’m helping oversee it, and I emailed all of you who responded to this post. Steve, I already got yours. Cheryl, Tahmy, let me know if you received my email. Thanks!\n'], ['\nHi Kevin, got your email. You have my picture. Do you want another paragraph from me? Please give me some guidance as to what you want me to say. I will be happy to do it.\n\xa0\nThanks\n'], ['\nHey Cheryl! Yes if what you wrote here is the post you want to use, that’s fine. Just wanted to confirm.\n'], ['\nKevin, please use what I wrote, just delete the final sentence “I would be honored to be featured for Parkinson’s Awareness Month as my husband’s caregiver.”\nThanks\n'], ['\nOk great. Thanks Cheryl!\n'], ['Posts']]"
45,How has caregiving changed your life?,https://parkinsonsnewstoday.com/forums/forums/topic/how-has-caregiving-changed-your-life/,['0'],['1'],"[['Posts'], ['\n\nMy Dad was diagnosed with PD nearly 7 years ago. And it has been a choppy battle. Some days are great and others can be really tough. As caregivers, it seems like we ride the abs and flows of our loved-one’s journey sometimes. It’s easy to resign ourselves to the immediate needs, forgetting the less urgent needs or ourselves.\nHow has caregiving changed your life? Does it get easier to ride out the hard parts as you become more familiar with the disease? Have you been able to maintain a bit of personal freedom within your life as a caregiver?\n'], ['Posts']]"
46,Are you a full-time caregiver?,https://parkinsonsnewstoday.com/forums/forums/topic/are-you-a-full-time-caregiver/,['1'],['1'],"[['Posts'], ['\n\nAre you a full-time caregiver for someone with Parkinson’s? What is your relationship to them? How did you decide to take on caregiving duties full-time? If you left the workforce to provide care, how did you or do you feel about that decision? Is there anything you would have done differently?\n'], ['Posts']]"
47,The Cost of Chronic Illness for Caregiver,https://parkinsonsnewstoday.com/forums/forums/topic/the-cost-of-chronic-illness-for-caregiver/,['4'],['12'],"[['Posts'], ['\n\nIn a recent column, I talked about the costs associated with Parkinson’s disease. My Dad (diagnosed in 2013) went from working a full-time job to working minimally. He found that the stress associated with his job was having a negative impact on his PD symptoms. And he was ready to take a few steps back.\nMy Mom, his #1 fan, stepped up to the plate and began working extra to help alleviate the financial costs. They’re both doing well, currently. But I wonder what the cost of an illness is like for caregivers? What ways have you found PD challenging as a loved one? And what can we do to make sure the cost isn’t too much for us?\n'], ['\nNot sure where to start in this discussion.\xa0 My husband officially has had Parkinson’s for 4 and 1/2 years but assuredly it has been much longer prior to the actual diagnosis.\xa0 In addition to watching his motor, non-motor, and cognitive skills decline, I think the greatest cost is the loss of the emotional support that he used to be able to give.\xa0 Although he’s still the caring person that he always was, he’s no longer able to express it either verbally or non-verbally.\xa0 Much of the time he’s very sleepy, repeats a lot, doesn’t really carry on a conversation except within very repetitive, limited interests, and our communications essentially can’t be more than a few minutes and often only a few sentences at a time.\xa0 He also has bipolar disease, diabetes, vascular, blood pressure and thyroid issues, glaucoma, and insomnia for which he does cat naps all day long.\xa0 Recognizing how much he has declined in 4 and 1/2 years not only blows my mind, but gets very depressing, sad, and at times maddening.\xa0 Sometimes it’s hard for me to separate my anger to keep it contained to just the disease as opposed to being angry with him, too.\xa0 Some of the most challenging issues for me is the up and down nature of the disease so that I never know when he is going to have a good day or even a good hour, and seeing sudden massive declines in function from which he never really recovers despite the amount of physical therapy he might be able to get for each episode.\xa0 In addition, the struggles with the insurance companies, the rehab departments at each hospitalization and home care therapies to keep him on service, myriad of doctors appointments, and doctors not seeing the dips in function in the 15 minutes they spend with you are highly frustrating.\xa0 Many times I find myself praying that I will have the strength, resilience, and fortitude to see this disease to the end, as things will become even worse than what they are now.\xa0 With no end in sight, I freak out about the huge financial cost since my husband has had to be in an assisted living this entire time.\xa0 I continue to work full time for financial reasons and to keep my sanity in an effort to have some sort of balance in my life.\xa0 Furthermore, when I had tried to keep him home, he would\xa0 call 911 several times a day because I might have been 5 minutes late from getting things he needed because of traffic or lines at the cash register.\xa0 There were many days that I came home to finding the EMT’s at my house because my husband was petrified and many other days that we had to call the EMT’s because I couldn’t pick him up when he fell or because I couldn’t always get him up and down the stairs or in and out of the bathroom, etc.\xa0 At times I get really angry when people say to be sure to take care of yourself when being a caregiver can be a 24/7+ job, especially during the “crisis” times.\xa0 It gets even harder with each episode when I suddenly have to do even more juggling to be sure that work is covered because doctors won’t return your calls, or expect you to be at hospitals, rehabs, and skilled nursing facilities during the few moments they might be there after you’ve waited for them for hours.\xa0 I’ve had experiences where nurses told me on the QT when the doctor makes his rounds so that I could get literally 2 minutes to beg him to write in his notes to continue physical therapy so the insurance company wouldn’t discontinue treatment.\xa0 Needless to say, the entire process and it’s long downward spiral are extremely emotionally draining and physically very exhausting, especially when I have no family living near by.\nDespite it all, I would like to work to improve the lot of caregivers, as we caregivers are a much under-served and much unnoticed population.\xa0 Thank you for listening and for this opportunity to voice some of my feelings and concerns.\nCorrie T.\n'], ['\ncorrie, my heart goes out to you.\xa0 you are a brave, strong woman and I commend you for caring so much for your husband.\xa0 i do not have a caregiver.\xa0 i was diagnosed in 2015, 7 months after my husband passed.\xa0 i miss him terribly, but, I would not want him to see me deteriorate.\xa0 It must be such a hard job for the caregiver of someone who has PD, especially if the caregiver is a spouse.\xa0 The disease itself is so unpredictable in terms of how it affects one from day to day and like you say, hour to hour. This further adds to the difficulty of caring for someone you love with PD.\xa0 \xa0May you find peace…\n'], ['\nThanks so much, Jean for your kind words of support.  I greatly appreciate it.  Corrie\n'], ['\nCorrie, i am sure you are an inspiration to many…everyone is worried about those of us with PD but caregivers need to be acknowledged for the difficult job they have.\n'], ['\nHey Corrie,\nThank you for your thoughtful comments. First of all, I’m really sorry that you’re going through this. As the daughter of a man with Parkinson’s, I can certainly relate to the rollercoaster. My Dad is a little fighter, and he gives PD his all on a regular basis. But it hurts to see how much the disease takes from such a kind man. He, too, has seen a bit of a decline in speech but he has always been quiet. I think the hardest part of being a caregiver is figuring out how to take care of yourself while someone you love is suffering. I want to be available to my Dad, to make sure he doesn’t have to face such an awful illness alone. But it does get to me. I’m a columnist here, for Parkinsons News Today. And I often find myself not wanting to write about his struggle because talking about the disease dredges up lots of feelings. My superhero Dad is sick. And PD takes more than its share on a daily basis. Writing about it on a regular basis is a constant reminder that he’s struggling. But at the end of it all, I think that talking about it reminds us that we’re not alone. And I try to remind myself that we’re no good to anyone if we don’t take care of ourselves.\n\xa0\n'], ['\nHi Mary Beth,\nThanks for your response.\xa0 I agree that it’s hard to discuss the caregiver issues because, at least for me, it’s hard to ask for help and hard to expose feelings that others may not understand and end up being judgmental in their failed attempts to be supportive.\xa0 Plus the expectations from our culture to be independent, I find, makes it even harder to ask for help even when it’s legitimately needed.\xa0 I find the unpredictable nature of the disease particularly difficult to deal with, as I feel that I can’t make commitments to do things that would help me feel better because I never know when I’m going to get a “call” from the assisted living.\xa0 So, I’ve found myself not planning to do activities more than a week in advance, because I don’t know what is going to be happening with my husband at any given time.\xa0 My only thought is to do as many and as frequently stress relieving, enjoyable, and meaningful self caring type activities that you can that are short and can be done in varying intervals.\xa0 That way you’d have the choice of which you activity (ies) you’d want to and could pursue at any given day, or time.\xa0 Please feel free to write your thoughts.\xa0 Undoubtedly, they will be helpful to everyone, and to you, too.\xa0 Since you are a columnist for this column, no doubt that your writing would be to the point, very expressive, and sincerely felt by everyone.\xa0 Thanks so much again for providing us with this opportunity.\xa0 Corrie\n\xa0\n'], ['\nHi Mary Beth,\nI’ve been thinking about you and hope that you are able to find some peace and comfort and are able to reflect on times when they seemed just perfect with your dad, especially during this holiday season.\xa0 Remember to take care of yourself and see yourself as a devoted caregiver who deserves and has earned well deserved TLC.\nSending you positive vibes and hugs,\nCorrie\n'], ['\nFor me, the sudden loss of our ability to be able to plan\xa0anything is shocking, and terribly depressing. I’m talking about things like, walking the dog together, or going errand-running, or to the movies, the gym, anything. My wife was formally dx in 2014. They said she is a “slow-progresser”, which doesn’t translate at all to what we deal with every day. She had DBS on one side October 2018. Before that, she did Rock-Steady Boxing (boxing for those with PD) and worked part time. Since then, she has not been able to work, nor do Rock-Steady. I think her cognitive health is declining because she cannot do the things that sustain her. Add in my own health issues, and its one big depressing picture over here…I know all about self-care but just don’t have much band-width for it. This is the first time I’ve posted anything. In the past, for other awful life events, online support groups were the only thing that sustained me. This time around, I’m just burnt out thinking about having to do ONE. MORE. THING.\n'], ['\nCindy,\nI’m really sorry to hear how hard things are. My Dad has PD, and the progression has changed the way we function as a collective too. But I think it’s really great you’re willing to talk about it.\nBand-width is a serious obstacle! Sometimes, by the time we address all of the essentials, there isn’t much energy left for us to delve into hobbies. Do you think part of her struggle is fatigue? I know that with my Dad, his body never really rests. And he has never been a very consistent sleeper, so he often wakes and is still tired.\nWhat kinds of things give you a renewal of energy? I know that I feel better after going for a short walk or playing piano. There are a handful of activities I’ve found that feel very cathartic (like playing music, writing and painting). And I’m not very good at maintaining consistency but they do seem to lift some of my burdens.\n'], ['\nHI Cindy,\nI hope that you’ve been able to get and give yourself some R & R.\xa0 I can relate to what you are saying when it comes down to feeling as though caring for yourself is just ONE MORE THING.\xa0 There were many times that I wanted to strangle people who told me to be sure to take care of myself, especially when it was one of the “crisis” times.\xa0 It’s really hard to figure out what to do when all you can do is sit on the couch and stare at 4 walls or the ceiling.\xa0 If that’s what you need to do, then do it, and give yourself full permission.\xa0 One of my strategies is having the TV on whether or not I’m watching it just to feel as though I have company in the room and the escape when needed.\xa0 It’s amazing that I don’t have episodes of Criminal Minds, SVU, and NCIS Los Angeles and New Orleans memorized verbatim with all of the repetition.\xa0 However, one thing that I do find helpful if listening to books on CD or audio on your phone.\xa0 I drive an hour round trip to see my husband in the assisted living, and many times the books on CD were the only thing that held me together.\xa0 It gave me the opportunity to feel productive while being distracted and still doing the main things that really needed to get done for the day.\nI hope this helps.\xa0 Take care and sending healing vibes,\nCorrie\n'], ['\nCorrie,\nThank you for those tips. I’ve recently discovered audiobooks and podcasts and I find a lot of relief from the temporary distraction too. What are you listening to right now? Do you have any favorites?\n'], ['Posts']]"
48,Do you go to counselling?,https://parkinsonsnewstoday.com/forums/forums/topic/do-you-go-to-counselling/,['6'],['9'],"[['Posts'], ['\n\nAlthough caregiving is a uniquely rewarding experience, it is also a very demanding role. Without proper support, caring for another person can take a toll on your physical and mental health. Burnout is a caregiver’s worst enemy, but resources like counselling can help you provide high-quality care and achieve emotional stability.\nDo you see a counsellor or attend a support group for caregivers? If you do, what impact have these supports had on your life? Do you think you are a better caregiver because you’re getting help, too?\nIf you’re not accessing private counselling or support groups, why not?\n'], ['\nIn my position as a counselor, I can attest to the fact that many folks do go to counseling to help in supporting their efforts.\xa0 About a third of my practice is in helping those experiencing difficult thoughts and emotions related to their diagnosis.\xa0 Acceptance and Commitment Therapy (ACT) is the typical approach I use in working with them and seems to fit the situation best since it follows closely the serenity prayer, courage to change what you can, the serenity to accept what cannot be changed and the wisdom to notice the difference.\xa0 \xa0There is also a growing body of research supporting this approach for this type of situation. ACT helps to increase psychological flexibility to be able to handle the situation you might find yourself within to the best of the situation and your ability.\nI also note that those who come in are typically those with the diagnosis, but for those who come in who are more in a supportive role, they also have reported back that the service was well worth their time.\xa0 Specifically, many had never considered building their own structure of support.\xa0 There is nothing wrong, when in a support role, in doing this action and in fact, it has been shown to increase the effectiveness of support for the main person with the challenging illness.\nThe services are out there and an ACT therapist can offer a different approach to enhance and address your situation.\xa0 So why not look for one in your area and learn how to build your own team and get the support you need?\n'], ['\nI am a person with Parkinson’s (PWP). I can attest to the value of acceptance and Commitment therapy (pronounced “ACT”). \xa0It is a way of mindfully living in the present Within having a chronic condition or other life circumstance. It is very different from cognitive behavior therapy or CBT, which works on a much more shallow level trying to counter negative thinking. ACT goes right to the experiential heart of being with whatever is going on in our lives and not trying to change things that can’t be changed. It is just emerging and it is important that PWP’s Themselves experience ACT as well as caregivers.\n'], ['\nJust following up on a question for how to find an ACT therapist.  Places like Zencare and Psychology today tend to have a place where clinicians list whether or not they utilize ACT in their practice, but keep in mind that there is no certification for ACT and you will need to ask them whether they have worked with Steve Hayes, Russ Harris, and what other workshops they may have gone to.  Also – if they are a member of the Association for Behavioral and Contextual Science (ABCS(they have a listing there of clinicians by region as well)).\nYou can also dod a simple google search for Acceptance and Commitment Therapy in my area”.  Good news is that many of the hospital systems are beginning to look to ACT as a replacement or complement for CBT in that as the evidence grows, this is becoming a go to intervention supported by insurance coverage. \nAlso – be on the look out for the use of metaphors (little stories) in session and more emphasis on what you might be experiencing at the moment or the whats and hows of the experience versus the why.  \n'], ['\nTodd thank you for your invaluable post. \xa0 I am a firm believer in the serenity prayer and blogged about it.. https://slippedawayblog.wordpress.com/2018/02/26/acceptance-gratitude-and-attitude/\n'], ['\nGarrett thank you for your endorsement of counseling, especially ACT. \xa0It seems to be the way to go\n'], ['\nI have an appointment with a Counselor, but not for another 6 weeks.\xa0 I am a caregiver, and my husband with Parkinson’s has an appointment at the same time with a different counselor.\xa0 I don’t know if that is going to work, as he has difficulty remembering, but we are giving it a try.\xa0 I am not sure what I am hoping for, but I need some support and some direction in how to stay positive, and how to deal with so many emotions.\n'], ['\nChristine, it’s awesome that you’re reaching out for support. My Dad has PD, and sometimes it can be really grueling to see the progression of the disease. And I love him, \xa0and want to be there for him whenever he needs. But it’s ok for us to find support too. And in fact, I think it’s necessary that I do. I’ve been seeing a therapist for two years on a weekly basis. And sometimes it can be a tremendous relief to share your pain with a neutral party. It sounds like you’re doing all of the right things!\n'], ['\nThis is really helpful information to have — thank you!\n'], ['Posts']]"
